iter	Passed	Remaining
0	139	139388
1	140	70183
2	141	47074
3	142	35558
4	143	28603
5	144	23979
6	145	20673
7	146	18199
8	147	16274
9	148	14741
10	150	13488
11	151	12440
12	152	11553
13	153	10799
14	154	10141
15	155	9564
16	156	9053
17	157	8603
18	158	8195
19	159	7833
20	160	7504
21	162	7204
22	163	6926
23	164	6675
24	165	6441
25	166	6231
26	167	6038
27	168	5862
28	169	5691
29	170	5527
30	171	5375
31	173	5239
32	174	5109
33	175	4988
34	176	4870
35	177	4756
36	178	4655
37	180	4559
38	181	4468
39	182	4377
40	183	4295
41	184	4214
42	185	4138
43	187	4066
44	188	3995
45	189	3924
46	190	3861
47	191	3800
48	192	3743
49	193	3685
50	195	3629
51	196	3574
52	197	3526
53	198	3478
54	199	3433
55	200	3386
56	201	3339
57	202	3296
58	204	3253
59	204	3211
60	206	3174
61	207	3140
62	208	3103
63	209	3067
64	210	3033
65	212	3000
66	213	2967
67	214	2937
68	215	2906
69	216	2878
70	217	2851
71	219	2824
72	220	2795
73	221	2767
74	222	2741
75	223	2716
76	224	2693
77	225	2667
78	226	2645
79	227	2621
80	229	2599
81	230	2577
82	231	2556
83	232	2536
84	233	2514
85	234	2494
86	235	2474
87	236	2455
88	237	2436
89	239	2417
90	240	2399
91	241	2380
92	242	2362
93	243	2348
94	244	2331
95	245	2315
96	246	2298
97	248	2282
98	249	2266
99	250	2251
100	251	2236
101	252	2221
102	253	2208
103	254	2194
104	255	2181
105	257	2167
106	258	2153
107	259	2142
108	260	2129
109	261	2116
110	262	2104
111	263	2091
112	264	2078
113	265	2065
114	267	2055
115	268	2043
116	269	2031
117	270	2020
118	271	2009
119	272	1998
120	273	1987
121	274	1977
122	275	1967
123	276	1956
124	278	1947
125	279	1936
126	280	1925
127	281	1914
128	282	1904
129	283	1895
130	284	1885
131	285	1877
132	287	1870
133	288	1862
134	289	1854
135	290	1844
136	291	1836
137	292	1828
138	293	1819
139	294	1810
140	295	1802
141	297	1794
142	298	1787
143	299	1779
144	300	1771
145	301	1763
146	302	1756
147	303	1748
148	304	1740
149	305	1732
150	306	1724
151	307	1718
152	309	1710
153	310	1704
154	311	1697
155	312	1690
156	313	1683
157	314	1676
158	315	1669
159	316	1663
160	317	1656
161	318	1649
162	319	1642
163	321	1636
164	322	1630
165	323	1624
166	324	1618
167	325	1611
168	326	1606
169	327	1600
170	328	1594
171	329	1587
172	331	1582
173	332	1577
174	333	1572
175	334	1566
176	335	1560
177	336	1555
178	338	1551
179	339	1545
180	340	1539
181	341	1535
182	342	1529
183	343	1523
184	345	1519
185	346	1515
186	347	1510
187	348	1504
188	349	1499
189	350	1494
190	351	1489
191	352	1484
192	354	1480
193	355	1476
194	356	1471
195	357	1467
196	359	1463
197	360	1459
198	361	1454
199	362	1451
200	363	1446
201	365	1442
202	366	1437
203	367	1432
204	368	1428
205	369	1424
206	370	1420
207	371	1415
208	373	1411
209	374	1408
210	375	1404
211	376	1400
212	377	1396
213	378	1391
214	379	1387
215	380	1382
216	382	1378
217	383	1374
218	384	1370
219	385	1365
220	386	1362
221	387	1358
222	388	1354
223	389	1350
224	391	1346
225	392	1342
226	393	1339
227	394	1335
228	395	1331
229	396	1327
230	397	1323
231	398	1320
232	399	1316
233	400	1312
234	401	1308
235	403	1305
236	404	1301
237	405	1297
238	406	1293
239	407	1289
240	408	1286
241	409	1283
242	410	1279
243	411	1275
244	412	1272
245	414	1269
246	415	1265
247	416	1262
248	417	1259
249	418	1256
250	419	1253
251	420	1249
252	421	1245
253	423	1242
254	424	1239
255	425	1236
256	426	1233
257	427	1230
258	428	1227
259	430	1223
260	431	1221
261	432	1217
262	433	1214
263	434	1211
264	435	1208
265	436	1205
266	437	1201
267	438	1198
268	439	1195
269	440	1192
270	442	1189
271	443	1186
272	444	1183
273	445	1180
274	446	1176
275	447	1173
276	448	1170
277	449	1167
278	451	1165
279	452	1163
280	453	1161
281	454	1158
282	456	1155
283	457	1152
284	458	1150
285	459	1147
286	460	1144
287	461	1141
288	462	1139
289	464	1136
290	465	1133
291	466	1130
292	467	1127
293	468	1125
294	469	1122
295	470	1119
296	471	1116
297	472	1113
298	473	1111
299	475	1108
300	476	1106
301	477	1103
302	478	1100
303	479	1098
304	481	1096
305	482	1093
306	483	1090
307	484	1088
308	485	1085
309	486	1082
310	487	1080
311	488	1077
312	489	1075
313	491	1073
314	492	1070
315	493	1068
316	494	1065
317	495	1063
318	496	1060
319	497	1058
320	498	1055
321	500	1052
322	501	1050
323	502	1047
324	503	1045
325	504	1043
326	505	1040
327	506	1038
328	508	1036
329	509	1034
330	510	1031
331	511	1029
332	512	1026
333	513	1024
334	515	1022
335	515	1019
336	516	1016
337	517	1014
338	519	1012
339	520	1009
340	521	1006
341	522	1004
342	523	1002
343	524	999
344	525	996
345	526	994
346	527	992
347	528	990
348	529	987
349	530	985
350	531	983
351	533	981
352	534	979
353	535	977
354	536	974
355	537	973
356	539	970
357	540	968
358	541	966
359	542	964
360	543	962
361	544	960
362	545	957
363	546	955
364	548	953
365	549	951
366	550	949
367	551	947
368	552	944
369	553	942
370	554	940
371	556	938
372	556	936
373	558	933
374	559	931
375	560	929
376	561	927
377	562	925
378	563	923
379	564	921
380	565	919
381	566	917
382	568	915
383	569	913
384	570	910
385	571	908
386	572	906
387	573	904
388	574	902
389	576	901
390	577	899
391	578	896
392	579	894
393	580	892
394	581	890
395	582	888
396	583	886
397	584	884
398	585	882
399	586	880
400	587	878
401	589	876
402	590	874
403	591	872
404	592	870
405	593	868
406	594	866
407	595	864
408	596	862
409	597	860
410	599	858
411	600	856
412	601	854
413	602	853
414	603	851
415	605	849
416	606	847
417	607	845
418	608	843
419	609	842
420	610	840
421	611	837
422	612	836
423	613	834
424	615	832
425	616	830
426	617	828
427	618	826
428	619	824
429	620	823
430	621	821
431	622	819
432	624	817
433	625	815
434	626	813
435	627	811
436	628	809
437	641	823
438	642	821
439	643	819
440	644	817
441	646	815
442	647	813
443	648	811
444	649	809
445	650	808
446	651	806
447	652	804
448	653	802
449	654	800
450	655	798
451	657	796
452	658	794
453	659	792
454	660	790
455	661	789
456	662	787
457	663	785
458	665	784
459	666	781
460	667	780
461	668	778
462	669	776
463	670	774
464	672	773
465	673	771
466	674	769
467	675	768
468	676	766
469	678	764
470	679	762
471	680	761
472	681	759
473	682	757
474	683	755
475	685	754
476	686	752
477	687	750
478	688	749
479	689	747
480	690	745
481	691	743
482	692	741
483	693	739
484	694	737
485	696	736
486	697	734
487	698	732
488	699	731
489	700	729
490	701	727
491	702	725
492	703	723
493	704	722
494	705	720
495	707	718
496	708	716
497	709	715
498	710	713
499	711	711
500	712	710
501	713	708
502	714	706
503	716	704
504	717	702
505	718	701
506	727	707
507	728	705
508	729	703
509	730	702
510	732	700
511	733	698
512	734	696
513	735	695
514	736	693
515	737	691
516	738	689
517	739	687
518	740	686
519	741	684
520	742	682
521	743	681
522	744	679
523	745	677
524	746	675
525	748	674
526	749	672
527	750	670
528	751	668
529	752	667
530	753	665
531	754	663
532	755	662
533	756	660
534	757	658
535	759	657
536	760	655
537	761	653
538	762	651
539	763	650
540	764	648
541	765	646
542	766	645
543	767	643
544	769	642
545	770	640
546	771	638
547	772	637
548	773	635
549	774	633
550	775	632
551	776	630
552	777	628
553	778	626
554	779	625
555	780	623
556	781	621
557	783	620
558	784	618
559	785	617
560	786	615
561	787	613
562	788	612
563	789	610
564	790	608
565	792	607
566	793	605
567	794	604
568	795	602
569	796	600
570	797	599
571	798	597
572	799	596
573	800	594
574	801	592
575	802	591
576	804	589
577	805	587
578	806	586
579	807	584
580	808	583
581	809	581
582	810	579
583	811	578
584	812	576
585	814	575
586	815	573
587	816	571
588	817	570
589	818	568
590	819	567
591	820	565
592	821	564
593	822	562
594	824	561
595	825	559
596	826	557
597	827	556
598	828	554
599	829	553
600	831	551
601	832	550
602	833	548
603	834	547
604	835	545
605	836	543
606	837	542
607	839	540
608	840	539
609	841	537
610	842	536
611	843	534
612	844	533
613	846	531
614	847	530
615	848	528
616	849	527
617	850	525
618	851	524
619	852	522
620	853	521
621	855	519
622	856	518
623	857	516
624	858	514
625	859	513
626	860	511
627	861	510
628	862	508
629	863	507
630	864	505
631	865	504
632	866	502
633	867	501
634	868	499
635	870	497
636	871	496
637	872	494
638	873	493
639	874	491
640	875	490
641	876	488
642	877	487
643	878	485
644	879	484
645	880	482
646	882	481
647	883	479
648	884	478
649	885	476
650	886	475
651	887	473
652	888	472
653	889	470
654	890	469
655	891	467
656	893	466
657	894	464
658	895	463
659	896	461
660	897	460
661	898	458
662	899	457
663	900	455
664	901	454
665	902	452
666	903	451
667	905	449
668	906	448
669	907	446
670	908	445
671	909	443
672	910	442
673	911	441
674	912	439
675	914	438
676	915	436
677	916	435
678	917	433
679	918	432
680	919	430
681	920	429
682	922	427
683	923	426
684	924	425
685	925	423
686	926	422
687	927	420
688	928	419
689	929	417
690	930	416
691	932	414
692	933	413
693	934	411
694	935	410
695	936	409
696	937	407
697	938	406
698	939	404
699	940	403
700	941	401
701	942	400
702	943	398
703	944	397
704	945	395
705	947	394
706	948	392
707	949	391
708	950	390
709	951	388
710	953	387
711	954	386
712	955	384
713	956	383
714	957	381
715	958	380
716	959	378
717	961	377
718	962	376
719	963	374
720	964	373
721	965	371
722	966	370
723	967	368
724	968	367
725	969	366
726	970	364
727	971	363
728	973	361
729	974	360
730	975	358
731	976	357
732	977	356
733	978	354
734	979	353
735	980	351
736	981	350
737	982	348
738	984	347
739	985	346
740	986	344
741	987	343
742	988	341
743	989	340
744	990	339
745	991	337
746	992	336
747	993	334
748	995	333
749	996	332
750	997	330
751	998	329
752	999	327
753	1000	326
754	1001	325
755	1002	323
756	1004	322
757	1005	320
758	1006	319
759	1007	318
760	1008	316
761	1009	315
762	1010	313
763	1012	312
764	1013	311
765	1014	309
766	1015	308
767	1016	307
768	1017	305
769	1018	304
770	1019	302
771	1020	301
772	1022	300
773	1023	298
774	1024	297
775	1025	296
776	1026	294
777	1027	293
778	1028	291
779	1029	290
780	1030	289
781	1032	287
782	1033	286
783	1034	284
784	1035	283
785	1036	282
786	1037	280
787	1038	279
788	1039	278
789	1041	276
790	1042	275
791	1043	274
792	1044	272
793	1045	271
794	1046	269
795	1047	268
796	1048	267
797	1049	265
798	1050	264
799	1051	262
800	1052	261
801	1054	260
802	1055	258
803	1056	257
804	1057	256
805	1058	254
806	1059	253
807	1060	252
808	1061	250
809	1063	249
810	1064	247
811	1065	246
812	1066	245
813	1067	243
814	1068	242
815	1069	241
816	1071	239
817	1072	238
818	1073	237
819	1074	235
820	1075	234
821	1076	233
822	1077	231
823	1078	230
824	1080	229
825	1081	227
826	1082	226
827	1083	225
828	1084	223
829	1085	222
830	1086	221
831	1087	219
832	1089	218
833	1090	216
834	1091	215
835	1092	214
836	1093	212
837	1094	211
838	1096	210
839	1097	208
840	1098	207
841	1099	206
842	1100	204
843	1101	203
844	1103	202
845	1103	200
846	1104	199
847	1105	198
848	1106	196
849	1107	195
850	1109	194
851	1110	192
852	1111	191
853	1112	190
854	1113	188
855	1114	187
856	1115	186
857	1116	184
858	1117	183
859	1119	182
860	1120	180
861	1121	179
862	1122	178
863	1123	176
864	1124	175
865	1125	174
866	1126	172
867	1127	171
868	1129	170
869	1130	168
870	1131	167
871	1132	166
872	1133	164
873	1134	163
874	1135	162
875	1136	160
876	1137	159
877	1138	158
878	1139	156
879	1140	155
880	1141	154
881	1142	152
882	1143	151
883	1144	150
884	1145	148
885	1146	147
886	1148	146
887	1149	144
888	1150	143
889	1151	142
890	1152	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1159	133
897	1160	131
898	1161	130
899	1162	129
900	1164	127
901	1165	126
902	1166	125
903	1167	123
904	1168	122
905	1169	121
906	1170	120
907	1171	118
908	1172	117
909	1174	116
910	1175	114
911	1176	113
912	1177	112
913	1178	110
914	1179	109
915	1180	108
916	1181	106
917	1182	105
918	1183	104
919	1184	103
920	1185	101
921	1186	100
922	1187	99
923	1189	97
924	1190	96
925	1191	95
926	1192	93
927	1193	92
928	1194	91
929	1195	90
930	1196	88
931	1198	87
932	1199	86
933	1200	84
934	1201	83
935	1202	82
936	1203	80
937	1204	79
938	1205	78
939	1206	77
940	1207	75
941	1208	74
942	1209	73
943	1210	71
944	1211	70
945	1212	69
946	1214	67
947	1215	66
948	1216	65
949	1217	64
950	1218	62
951	1219	61
952	1220	60
953	1221	58
954	1222	57
955	1223	56
956	1225	55
957	1226	53
958	1227	52
959	1228	51
960	1229	49
961	1230	48
962	1232	47
963	1233	46
964	1234	44
965	1235	43
966	1236	42
967	1237	40
968	1238	39
969	1239	38
970	1240	37
971	1241	35
972	1243	34
973	1244	33
974	1245	31
975	1246	30
976	1247	29
977	1248	28
978	1249	26
979	1250	25
980	1251	24
981	1252	22
982	1254	21
983	1255	20
984	1256	19
